frame,t,x,y
5.100000000E1,1.275000000E-2,4.913720280E1,1.168144511E1
5.200000000E1,1.300000000E-2,5.213522050E1,1.515938900E1
5.300000000E1,1.325000000E-2,4.977083433E1,1.673185356E1
5.400000000E1,1.350000000E-2,4.945729630E1,1.862490244E1
5.500000000E1,1.375000000E-2,4.803889590E1,1.973672218E1
5.600000000E1,1.400000000E-2,4.787778062E1,2.147223790E1
5.700000000E1,1.425000000E-2,4.765690191E1,1.978057275E1
5.800000000E1,1.450000000E-2,4.822898885E1,1.534251124E1
5.900000000E1,1.475000000E-2,4.785369289E1,9.636966554E0
6.000000000E1,1.500000000E-2,4.678991701E1,4.910020126E0
6.100000000E1,1.525000000E-2,4.650081948E1,9.613299417E-1
6.200000000E1,1.550000000E-2,4.537045977E1,-3.350784501E0
6.300000000E1,1.575000000E-2,4.427439034E1,-6.346917972E0
6.400000000E1,1.600000000E-2,4.650153668E1,-7.951005803E0
6.500000000E1,1.625000000E-2,4.618068826E1,-4.983847039E0
6.600000000E1,1.650000000E-2,4.711957909E1,-1.052468834E0
6.700000000E1,1.675000000E-2,4.651047339E1,2.567721594E0
6.800000000E1,1.700000000E-2,4.591803776E1,5.792468646E0
6.900000000E1,1.725000000E-2,4.550219871E1,9.292906894E0
7.000000000E1,1.750000000E-2,4.658333333E1,1.237500000E1
7.100000000E1,1.775000000E-2,4.773803024E1,1.510349778E1
7.200000000E1,1.800000000E-2,4.853495516E1,1.724051819E1
7.300000000E1,1.825000000E-2,4.844337861E1,1.886516800E1
7.400000000E1,1.850000000E-2,4.754093654E1,1.969773754E1
7.500000000E1,1.875000000E-2,4.811805795E1,1.762349839E1
7.600000000E1,1.900000000E-2,4.941116503E1,1.381171353E1
7.700000000E1,1.925000000E-2,4.832518148E1,9.384192872E0
7.800000000E1,1.950000000E-2,4.751929977E1,4.694698706E0
7.900000000E1,1.975000000E-2,4.735113975E1,-1.817932226E-1
8.000000000E1,2.000000000E-2,4.529583686E1,-4.884673230E0
8.100000000E1,2.025000000E-2,4.420879650E1,-7.567432195E0
8.200000000E1,2.050000000E-2,4.692770084E1,-8.716879710E0
8.300000000E1,2.075000000E-2,4.708531388E1,-6.818852784E0
8.400000000E1,2.100000000E-2,4.606637398E1,-3.859042856E0
8.500000000E1,2.125000000E-2,4.602776329E1,8.856510907E-1
8.600000000E1,2.150000000E-2,4.527880921E1,4.627351281E0
8.700000000E1,2.175000000E-2,4.761523623E1,8.236981309E0
8.800000000E1,2.200000000E-2,4.948954160E1,1.110612415E1
8.900000000E1,2.225000000E-2,4.885013722E1,1.411959790E1
9.000000000E1,2.250000000E-2,4.928643614E1,1.679684078E1
9.100000000E1,2.275000000E-2,4.865858849E1,1.997550838E1
9.200000000E1,2.300000000E-2,4.830195460E1,2.056580726E1
9.300000000E1,2.325000000E-2,4.857190508E1,1.837020312E1
9.400000000E1,2.350000000E-2,4.914113438E1,1.441489073E1
9.500000000E1,2.375000000E-2,4.489555545E1,8.931657144E0
9.600000000E1,2.400000000E-2,4.691529947E1,4.243540924E0
9.700000000E1,2.425000000E-2,4.661024322E1,8.955401131E-1
9.800000000E1,2.450000000E-2,4.609675761E1,-3.214466736E0
9.900000000E1,2.475000000E-2,4.570499821E1,-7.106047584E0
1.000000000E2,2.500000000E-2,4.556181704E1,-9.449571417E0
1.010000000E2,2.525000000E-2,4.601891405E1,-3.958583054E0
1.020000000E2,2.550000000E-2,4.669171498E1,-1.983452216E0
1.030000000E2,2.575000000E-2,4.725573965E1,1.520105568E0
1.040000000E2,2.600000000E-2,4.726368212E1,4.655333035E0
1.050000000E2,2.625000000E-2,4.824278025E1,8.309493226E0
1.060000000E2,2.650000000E-2,4.964215305E1,1.177576253E1
1.070000000E2,2.675000000E-2,5.114451848E1,1.523127958E1
1.080000000E2,2.700000000E-2,5.090504533E1,1.869695718E1
1.090000000E2,2.725000000E-2,4.932043851E1,2.009325419E1
1.100000000E2,2.750000000E-2,4.914455842E1,2.119387563E1
1.110000000E2,2.775000000E-2,4.929493865E1,1.931564383E1
1.120000000E2,2.800000000E-2,5.086023658E1,1.459609840E1
1.130000000E2,2.825000000E-2,5.070156462E1,8.792801662E0
1.140000000E2,2.850000000E-2,5.038165000E1,5.296686085E0
1.150000000E2,2.875000000E-2,5.084446959E1,-2.380177171E-1
1.160000000E2,2.900000000E-2,5.004811579E1,-3.054380816E0
1.170000000E2,2.925000000E-2,4.866000261E1,-6.713481072E0
1.180000000E2,2.950000000E-2,4.674523080E1,-6.338385122E0
1.190000000E2,2.975000000E-2,4.770608370E1,-5.550574006E0
1.200000000E2,3.000000000E-2,4.898877227E1,-2.739517511E0
1.210000000E2,3.025000000E-2,4.992544706E1,2.653665033E0
1.220000000E2,3.050000000E-2,4.789194005E1,5.656187983E0
1.230000000E2,3.075000000E-2,5.058003371E1,9.741205062E0
1.240000000E2,3.100000000E-2,4.941551236E1,1.382408886E1
1.250000000E2,3.125000000E-2,4.862174253E1,1.737123284E1
1.260000000E2,3.150000000E-2,4.796047785E1,2.004253903E1
1.270000000E2,3.175000000E-2,4.735184668E1,2.181794997E1
1.280000000E2,3.200000000E-2,4.736163890E1,2.272667325E1
1.290000000E2,3.225000000E-2,4.767464705E1,2.085277034E1
1.300000000E2,3.250000000E-2,4.888189286E1,1.597794491E1
1.310000000E2,3.275000000E-2,4.600502051E1,1.191240431E1
1.320000000E2,3.300000000E-2,4.564064042E1,7.186106516E0
1.330000000E2,3.325000000E-2,4.453872035E1,2.607747281E0
1.340000000E2,3.350000000E-2,4.516651355E1,-1.187534479E0
1.350000000E2,3.375000000E-2,4.413564027E1,-4.661776264E0
1.360000000E2,3.400000000E-2,4.573063536E1,-6.208748034E0
1.370000000E2,3.425000000E-2,4.678768652E1,-5.070744213E0
1.380000000E2,3.450000000E-2,4.790510868E1,-3.013069014E0
1.390000000E2,3.475000000E-2,4.566372086E1,3.632881454E0
1.400000000E2,3.500000000E-2,4.693622185E1,7.102001248E0
1.410000000E2,3.525000000E-2,4.724858863E1,1.105720841E1
1.420000000E2,3.550000000E-2,4.960178916E1,1.438840807E1
1.430000000E2,3.575000000E-2,4.849921895E1,1.719192895E1
1.440000000E2,3.600000000E-2,4.946034675E1,1.956151531E1
1.450000000E2,3.625000000E-2,4.650875964E1,2.158844362E1
1.460000000E2,3.650000000E-2,4.678906373E1,2.220935931E1
1.470000000E2,3.675000000E-2,4.786817064E1,2.047239473E1
1.480000000E2,3.700000000E-2,4.914200777E1,1.625151628E1
1.490000000E2,3.725000000E-2,4.533190145E1,1.072446339E1
1.500000000E2,3.750000000E-2,4.904170902E1,7.894661695E0
1.510000000E2,3.775000000E-2,4.951539764E1,3.641170403E0
1.520000000E2,3.800000000E-2,4.902037596E1,-1.112556993E0
1.530000000E2,3.825000000E-2,4.740752050E1,-3.606509338E0
1.540000000E2,3.850000000E-2,4.656166401E1,-4.907542469E0
1.550000000E2,3.875000000E-2,4.679404145E1,-3.608981002E0
1.560000000E2,3.900000000E-2,4.848668979E1,-1.212824860E0
1.570000000E2,3.925000000E-2,4.532700791E1,3.846693427E0
1.580000000E2,3.950000000E-2,4.766684007E1,7.182116005E0
1.590000000E2,3.975000000E-2,4.957592807E1,9.533169095E0
1.600000000E2,4.000000000E-2,5.101834770E1,1.359824857E1
1.610000000E2,4.025000000E-2,5.113005860E1,1.709684411E1
1.620000000E2,4.050000000E-2,4.922515191E1,1.998159092E1
1.630000000E2,4.075000000E-2,4.818419689E1,2.306563040E1
1.640000000E2,4.100000000E-2,4.724527190E1,2.342192241E1
1.650000000E2,4.125000000E-2,4.691959741E1,2.220977893E1
1.660000000E2,4.150000000E-2,4.910085933E1,1.782213399E1
1.670000000E2,4.175000000E-2,4.889392775E1,1.373042098E1
1.680000000E2,4.200000000E-2,4.883479376E1,1.012611904E1
1.690000000E2,4.225000000E-2,4.872084212E1,5.004290347E0
1.700000000E2,4.250000000E-2,4.866780804E1,4.641629445E-2
1.710000000E2,4.275000000E-2,4.772273032E1,-3.418868680E0
1.720000000E2,4.300000000E-2,4.740770441E1,-7.671718421E0
1.730000000E2,4.325000000E-2,4.772273032E1,-8.301770234E0
1.740000000E2,4.350000000E-2,4.819526918E1,-4.048920493E0
1.750000000E2,4.375000000E-2,4.866780804E1,-1.110966589E-1
1.760000000E2,4.400000000E-2,4.866780804E1,3.039162408E0
1.770000000E2,4.425000000E-2,4.914034690E1,6.819473289E0
1.780000000E2,4.450000000E-2,4.961288576E1,1.201740075E1
1.790000000E2,4.475000000E-2,4.866780804E1,1.516765982E1
1.800000000E2,4.500000000E-2,4.924101900E1,2.020198618E1
1.810000000E2,4.525000000E-2,4.776614418E1,2.228992179E1
1.820000000E2,4.550000000E-2,4.680579329E1,2.393149893E1
1.830000000E2,4.575000000E-2,4.696532777E1,2.157432822E1
1.840000000E2,4.600000000E-2,4.887781831E1,1.839340137E1
1.850000000E2,4.625000000E-2,4.918468176E1,1.493546224E1
1.860000000E2,4.650000000E-2,5.027742314E1,9.884880844E0
1.870000000E2,4.675000000E-2,4.834536468E1,4.404133897E0
1.880000000E2,4.700000000E-2,4.785723586E1,2.837631367E-1
1.890000000E2,4.725000000E-2,4.757414904E1,-4.147363194E0
1.900000000E2,4.750000000E-2,4.662402152E1,-6.175350136E0
1.910000000E2,4.775000000E-2,4.567191824E1,-5.216601866E0
1.920000000E2,4.800000000E-2,4.615959031E1,-4.741344437E0
1.930000000E2,4.825000000E-2,4.755030476E1,-1.596958855E0
1.940000000E2,4.850000000E-2,4.789398843E1,4.402998825E0
1.950000000E2,4.875000000E-2,4.806809527E1,8.383681143E0
1.960000000E2,4.900000000E-2,4.901032461E1,1.230372135E1
1.970000000E2,4.925000000E-2,4.899264975E1,1.570388270E1
1.980000000E2,4.950000000E-2,4.866777496E1,1.881076519E1
1.990000000E2,4.975000000E-2,4.752834942E1,2.122028843E1
2.000000000E2,5.000000000E-2,4.735673473E1,2.318570106E1
2.010000000E2,5.025000000E-2,4.643224651E1,2.173280528E1
2.020000000E2,5.050000000E-2,4.737012090E1,1.956183074E1
2.030000000E2,5.075000000E-2,4.843313139E1,1.376535341E1
2.040000000E2,5.100000000E-2,4.825321082E1,9.534092603E0
2.050000000E2,5.125000000E-2,4.758743681E1,5.819447032E0
2.060000000E2,5.150000000E-2,4.647681591E1,9.794024538E-1
2.070000000E2,5.175000000E-2,4.547975115E1,-2.160302962E0
2.080000000E2,5.200000000E-2,4.531609902E1,-6.099396580E0
2.090000000E2,5.225000000E-2,4.643422846E1,-7.532938042E0
2.100000000E2,5.250000000E-2,4.723337497E1,-3.411597453E0
2.110000000E2,5.275000000E-2,4.810492787E1,8.545494212E-1
2.120000000E2,5.300000000E-2,4.753952578E1,3.876402943E0
2.130000000E2,5.325000000E-2,4.802563474E1,8.882030640E0
2.140000000E2,5.350000000E-2,4.934486659E1,1.261341148E1
2.150000000E2,5.375000000E-2,4.896815693E1,1.501141726E1
2.160000000E2,5.400000000E-2,4.865313102E1,1.879172814E1
2.170000000E2,5.425000000E-2,4.831216982E1,2.108940467E1
2.180000000E2,5.450000000E-2,4.840995927E1,2.274622881E1
2.190000000E2,5.475000000E-2,4.701016855E1,2.226636727E1
2.200000000E2,5.500000000E-2,4.700405198E1,1.888020715E1
2.210000000E2,5.525000000E-2,4.773655660E1,1.511897786E1
2.220000000E2,5.550000000E-2,4.706038017E1,1.017140802E1
2.230000000E2,5.575000000E-2,4.720348142E1,6.096623136E0
2.240000000E2,5.600000000E-2,4.691892019E1,2.490401989E0
2.250000000E2,5.625000000E-2,4.704287857E1,-1.947958340E0
2.260000000E2,5.650000000E-2,4.564353999E1,-6.197801889E0
2.270000000E2,5.675000000E-2,4.516245702E1,-6.498408461E0
2.280000000E2,5.700000000E-2,4.454585080E1,-1.487590835E0
2.290000000E2,5.725000000E-2,4.486388826E1,1.966770550E0
2.300000000E2,5.750000000E-2,4.723131453E1,4.629010033E0
2.310000000E2,5.775000000E-2,4.802140574E1,6.513309099E0
2.320000000E2,5.800000000E-2,4.764139813E1,1.050019085E1
2.330000000E2,5.825000000E-2,4.893398164E1,1.349679468E1
2.340000000E2,5.850000000E-2,5.014206720E1,1.695361305E1
2.350000000E2,5.875000000E-2,4.838064067E1,1.977195003E1
2.360000000E2,5.900000000E-2,4.801968979E1,2.183540848E1
2.370000000E2,5.925000000E-2,4.837641830E1,2.290719073E1
2.380000000E2,5.950000000E-2,4.831342638E1,2.012365782E1
2.390000000E2,5.975000000E-2,4.909659847E1,1.571585354E1
2.400000000E2,6.000000000E-2,4.893730080E1,1.050982293E1
2.410000000E2,6.025000000E-2,5.035360036E1,6.235994366E0
2.420000000E2,6.050000000E-2,4.860371330E1,4.170379965E0
2.430000000E2,6.075000000E-2,4.864609089E1,-6.070265273E-1
2.440000000E2,6.100000000E-2,4.773639603E1,-4.390609137E0
2.450000000E2,6.125000000E-2,4.790831755E1,-5.786205192E0
2.460000000E2,6.150000000E-2,4.679218951E1,-2.454983077E0
2.470000000E2,6.175000000E-2,4.746439071E1,1.371934321E0
2.480000000E2,6.200000000E-2,4.761051998E1,4.659250015E0
2.490000000E2,6.225000000E-2,4.681213534E1,6.864977152E0
2.500000000E2,6.250000000E-2,4.863232167E1,1.165817951E1
2.510000000E2,6.275000000E-2,4.990755024E1,1.433067026E1
2.520000000E2,6.300000000E-2,5.023393670E1,1.729074658E1
2.530000000E2,6.325000000E-2,4.923554107E1,2.066015221E1
2.540000000E2,6.350000000E-2,4.891689724E1,2.281232030E1
2.550000000E2,6.375000000E-2,4.718609672E1,2.437780656E1
2.560000000E2,6.400000000E-2,4.695485836E1,2.204457522E1
2.570000000E2,6.425000000E-2,4.809379345E1,1.783909636E1
2.580000000E2,6.450000000E-2,4.778779159E1,1.477656006E1
2.590000000E2,6.475000000E-2,4.793443865E1,1.036414409E1
2.600000000E2,6.500000000E-2,4.746711853E1,4.853875088E0
2.610000000E2,6.525000000E-2,4.694884113E1,1.089884394E0
2.620000000E2,6.550000000E-2,4.760507882E1,-2.211976268E0
2.630000000E2,6.575000000E-2,4.542166206E1,-4.899904795E0
2.640000000E2,6.600000000E-2,4.792020452E1,-5.665748253E0
2.650000000E2,6.625000000E-2,4.776755660E1,-4.575257875E0
2.660000000E2,6.650000000E-2,4.794672882E1,1.351154409E-1
2.670000000E2,6.675000000E-2,4.827176770E1,5.024191501E0
2.680000000E2,6.700000000E-2,4.619525043E1,9.858203800E0
2.690000000E2,6.725000000E-2,4.817738759E1,1.335143274E1
2.700000000E2,6.750000000E-2,4.823420569E1,1.544343925E1
2.710000000E2,6.775000000E-2,4.813928141E1,1.897382932E1
2.720000000E2,6.800000000E-2,4.743710536E1,2.244038539E1
2.730000000E2,6.825000000E-2,4.666778929E1,2.293177893E1
2.740000000E2,6.850000000E-2,4.649677743E1,2.168759430E1
2.750000000E2,6.875000000E-2,4.744066079E1,1.839145908E1
2.760000000E2,6.900000000E-2,4.786055796E1,1.403290704E1
2.770000000E2,6.925000000E-2,4.815628046E1,9.794244112E0
2.780000000E2,6.950000000E-2,4.849874813E1,5.673337743E0
2.790000000E2,6.975000000E-2,4.773361997E1,1.555225547E0
2.800000000E2,7.000000000E-2,4.741706007E1,-2.237578064E0
2.810000000E2,7.025000000E-2,4.622366149E1,-4.800604491E0
2.820000000E2,7.050000000E-2,4.511191710E1,-6.839119171E0
2.830000000E2,7.075000000E-2,4.530984709E1,-5.201537970E0
2.840000000E2,7.100000000E-2,4.651796873E1,-4.308265751E0
2.850000000E2,7.125000000E-2,4.771421182E1,7.243578481E-1
2.860000000E2,7.150000000E-2,4.927045209E1,6.409346291E0
2.870000000E2,7.175000000E-2,5.068241099E1,1.079932738E1
2.880000000E2,7.200000000E-2,5.004442469E1,1.483686799E1
2.890000000E2,7.225000000E-2,4.980874698E1,1.809884815E1
2.900000000E2,7.250000000E-2,4.833635579E1,2.122564767E1
2.910000000E2,7.275000000E-2,4.735259648E1,2.364980921E1
2.920000000E2,7.300000000E-2,4.706799447E1,2.377007000E1
2.930000000E2,7.325000000E-2,4.738383734E1,2.092733669E1
2.940000000E2,7.350000000E-2,4.786055415E1,1.540816998E1
2.950000000E2,7.375000000E-2,4.876617736E1,1.151325368E1
2.960000000E2,7.400000000E-2,4.733886234E1,6.853301502E0
2.970000000E2,7.425000000E-2,4.715983233E1,2.481949033E0
2.980000000E2,7.450000000E-2,4.615194117E1,-2.310844547E0
2.990000000E2,7.475000000E-2,4.377769386E1,-6.618365361E0
3.000000000E2,7.500000000E-2,4.454977186E1,-7.844486139E0
3.010000000E2,7.525000000E-2,4.487754796E1,-3.291671028E0
3.020000000E2,7.550000000E-2,4.642418486E1,-1.255669863E0
3.030000000E2,7.575000000E-2,4.562850072E1,2.043423864E0
3.040000000E2,7.600000000E-2,4.719731116E1,5.187551545E0
3.050000000E2,7.625000000E-2,4.822556131E1,1.106968912E1
3.060000000E2,7.650000000E-2,4.835806757E1,1.436173401E1
3.070000000E2,7.675000000E-2,4.804974093E1,1.795354059E1
3.080000000E2,7.700000000E-2,4.835994487E1,2.112616099E1
3.090000000E2,7.725000000E-2,4.719523403E1,2.278628687E1
3.100000000E2,7.750000000E-2,4.569926877E1,2.328426478E1
3.110000000E2,7.775000000E-2,4.697509404E1,2.060234166E1
3.120000000E2,7.800000000E-2,4.743756901E1,1.711375913E1
3.130000000E2,7.825000000E-2,4.472525372E1,1.180610369E1
3.140000000E2,7.850000000E-2,4.630267309E1,7.318055765E0
3.150000000E2,7.875000000E-2,4.666182386E1,1.946848990E0
3.160000000E2,7.900000000E-2,4.632048605E1,-2.695538777E0
3.170000000E2,7.925000000E-2,4.624817826E1,-5.860777637E0
3.180000000E2,7.950000000E-2,4.537576236E1,-7.554935592E0
3.190000000E2,7.975000000E-2,4.628610682E1,-6.859006709E0
3.200000000E2,8.000000000E-2,4.676264209E1,-4.339872876E0
3.210000000E2,8.025000000E-2,4.755288087E1,-2.973830093E0
3.220000000E2,8.050000000E-2,4.639084834E1,4.394954282E0
3.230000000E2,8.075000000E-2,4.545852465E1,7.839005010E0
3.240000000E2,8.100000000E-2,4.802119545E1,1.220769266E1
3.250000000E2,8.125000000E-2,4.757182350E1,1.440941704E1
3.260000000E2,8.150000000E-2,4.807802132E1,1.756275396E1
3.270000000E2,8.175000000E-2,4.681516983E1,2.067001488E1
3.280000000E2,8.200000000E-2,4.667567572E1,2.350127408E1
3.290000000E2,8.225000000E-2,4.655780695E1,2.247584420E1
3.300000000E2,8.250000000E-2,4.764936415E1,1.909917222E1
3.310000000E2,8.275000000E-2,4.841296515E1,1.471854689E1
3.320000000E2,8.300000000E-2,4.354508325E1,9.498588621E0
3.330000000E2,8.325000000E-2,4.440532801E1,5.679011267E0
3.340000000E2,8.350000000E-2,4.563523242E1,1.447862267E0
3.350000000E2,8.375000000E-2,4.576204059E1,-2.684522179E0
3.360000000E2,8.400000000E-2,4.440610239E1,-5.485342667E0
3.370000000E2,8.425000000E-2,4.481883671E1,-4.797352974E0
3.380000000E2,8.450000000E-2,4.527775242E1,-2.891378095E0
3.390000000E2,8.475000000E-2,4.719916400E1,3.346725075E-1
3.400000000E2,8.500000000E-2,4.880889826E1,4.681439170E0
3.410000000E2,8.525000000E-2,4.881990440E1,7.601826849E0
3.420000000E2,8.550000000E-2,4.779020075E1,1.194407455E1
3.430000000E2,8.575000000E-2,4.866034794E1,1.560863713E1
3.440000000E2,8.600000000E-2,4.895933209E1,1.890725877E1
3.450000000E2,8.625000000E-2,4.776216620E1,2.209976017E1
3.460000000E2,8.650000000E-2,4.760581148E1,2.324891685E1
3.470000000E2,8.675000000E-2,4.782604258E1,2.252349546E1
3.480000000E2,8.700000000E-2,4.874193745E1,1.995395367E1
3.490000000E2,8.725000000E-2,4.926235054E1,1.583534655E1
3.500000000E2,8.750000000E-2,4.901252393E1,1.086632943E1
3.510000000E2,8.775000000E-2,5.030803540E1,6.978440655E0
3.520000000E2,8.800000000E-2,5.022606146E1,2.415114115E0
3.530000000E2,8.825000000E-2,4.924400610E1,-2.237424682E0
3.540000000E2,8.850000000E-2,4.748446532E1,-5.787362235E0
3.550000000E2,8.875000000E-2,4.671173451E1,-9.229901278E0
3.560000000E2,8.900000000E-2,4.823526629E1,-5.868296098E0
3.570000000E2,8.925000000E-2,4.777654047E1,-3.620150479E0
3.580000000E2,8.950000000E-2,4.828675805E1,1.454185104E0
3.590000000E2,8.975000000E-2,4.876887622E1,6.886346724E0
3.600000000E2,9.000000000E-2,4.903722317E1,1.136220805E1
3.610000000E2,9.025000000E-2,5.036116307E1,1.545432716E1
3.620000000E2,9.050000000E-2,4.948211762E1,1.895291264E1
3.630000000E2,9.075000000E-2,4.829106390E1,2.164887643E1
3.640000000E2,9.100000000E-2,4.727603950E1,2.393112575E1
3.650000000E2,9.125000000E-2,4.699300710E1,2.401888304E1
3.660000000E2,9.150000000E-2,4.572201173E1,2.140327535E1
3.670000000E2,9.175000000E-2,4.659120776E1,1.725055962E1
3.680000000E2,9.200000000E-2,4.836479275E1,1.287505546E1
3.690000000E2,9.225000000E-2,4.882418930E1,9.193433817E0
3.700000000E2,9.250000000E-2,4.925931803E1,4.434974174E0
3.710000000E2,9.275000000E-2,4.837542911E1,5.535195660E-1
3.720000000E2,9.300000000E-2,4.742098393E1,-3.487239536E0
3.730000000E2,9.325000000E-2,4.522602083E1,-6.991971312E0
3.740000000E2,9.350000000E-2,4.513630980E1,-5.645767808E0
3.750000000E2,9.375000000E-2,4.610987455E1,-2.309541111E0
3.760000000E2,9.400000000E-2,4.714536545E1,1.975619264E0
3.770000000E2,9.425000000E-2,4.704614422E1,5.448362270E0
3.780000000E2,9.450000000E-2,4.823679896E1,9.913317562E0
3.790000000E2,9.475000000E-2,4.813757774E1,1.368372425E1
3.800000000E2,9.500000000E-2,4.760655638E1,1.748649960E1
3.810000000E2,9.525000000E-2,4.736142030E1,2.084993207E1
3.820000000E2,9.550000000E-2,4.640106363E1,2.281395320E1
3.830000000E2,9.575000000E-2,4.521985894E1,2.276531055E1
3.840000000E2,9.600000000E-2,4.622975143E1,2.130173477E1
3.850000000E2,9.625000000E-2,4.757954544E1,1.950716215E1
3.860000000E2,9.650000000E-2,4.880749527E1,1.486241194E1
3.870000000E2,9.675000000E-2,4.849118404E1,1.041610418E1
3.880000000E2,9.700000000E-2,4.864190379E1,5.678845779E0
3.890000000E2,9.725000000E-2,4.882630293E1,8.158400702E-1
3.900000000E2,9.750000000E-2,4.863716256E1,-2.944322122E0
3.910000000E2,9.775000000E-2,4.735985660E1,-5.769527618E0
3.920000000E2,9.800000000E-2,4.506651916E1,-5.803328470E0
3.930000000E2,9.825000000E-2,4.487728440E1,-2.332906400E0
3.940000000E2,9.850000000E-2,4.748140029E1,1.061205158E0
3.950000000E2,9.875000000E-2,4.841729750E1,4.348003912E0
3.960000000E2,9.900000000E-2,4.929579714E1,8.510609428E0
3.970000000E2,9.925000000E-2,4.733114390E1,1.429241258E1
3.980000000E2,9.950000000E-2,4.763255612E1,1.777347058E1
3.990000000E2,9.975000000E-2,4.750098837E1,2.065505345E1
4.000000000E2,1.000000000E-1,4.571727019E1,2.295210873E1
4.010000000E2,1.002500000E-1,4.571740301E1,2.383898003E1
4.020000000E2,1.005000000E-1,4.542987512E1,2.362889124E1
4.030000000E2,1.007500000E-1,4.602520249E1,2.035459069E1
4.040000000E2,1.010000000E-1,4.671975109E1,1.608807786E1
4.050000000E2,1.012500000E-1,4.751352092E1,1.182156502E1
4.060000000E2,1.015000000E-1,4.781118461E1,6.562839900E0
4.070000000E2,1.017500000E-1,4.652130863E1,2.097884607E0
4.080000000E2,1.020000000E-1,4.542987512E1,-1.374858398E0
4.090000000E2,1.022500000E-1,4.324700809E1,-4.649158946E0
4.100000000E2,1.025000000E-1,4.354467177E1,-5.442928776E0
4.110000000E2,1.027500000E-1,4.404077792E1,-2.962398058E0
4.120000000E2,1.030000000E-1,4.542987512E1,-3.826461111E-1
4.130000000E2,1.032500000E-1,4.503299020E1,3.486981809E0
4.140000000E2,1.035000000E-1,4.691819355E1,6.959724815E0
4.150000000E2,1.037500000E-1,4.756688143E1,1.189913603E1
4.160000000E2,1.040000000E-1,4.776551975E1,1.495654641E1
4.170000000E2,1.042500000E-1,4.855149312E1,1.875897579E1
4.180000000E2,1.045000000E-1,4.835576456E1,2.133930083E1
